text_input,output
"The Light Water Breeder Reactor (LWBR) design utilizes axial movement of seed regions for control rather than conventional neutron-absorbing control rods. What fundamental nuclear principle, critical for achieving breeding in the LWBR, is the primary reason for this design choice?
A: Minimizing neutron leakage from the core.
B: Shifting the neutron energy spectrum to higher energies.
C: Conserving neutrons by avoiding parasitic absorption.
D: Increasing the multiplication factor (k) in the blanket region.",C
"Providing safety systems such as an Emergency Core Cooling System (ECCS) and redundant fast shutdown capability to protect the public and minimize damage in the event of an incident falls under which level of the NRC's safety philosophy?
A: First Level of Safety
B: Second Level of Safety
C: Third Level of Safety
D: Site Location Criteria",B
"Using the two-digit coding system described for nuclides, which code represents the isotope Uranium-235 (235U)?
A: 23
B: 35
C: 25
D: 52",C
"For an infinite isotropic planar source emitting S gamma rays/cm²-sec located behind a slab shield of thickness 'a', the uncollided flux at a point on the surface of the shield is given by which expression, where $\mu$ is the linear attenuation coefficient and E1 is the exponential integral function?
A: $S \cdot E_1(\mu a)$
B: $S \cdot E_1(\mu a) / 2$
C: $S / (2 \pi \mu a)$
D: $S \cdot E_2(\mu a) / 2$",B
"Assuming a fixed feed enrichment (natural uranium) and a fixed product enrichment, how do the required natural uranium feed quantity and the required separative work change as the tails assay (the concentration of the desired isotope in the depleted stream) is decreased?
A: Feed decreases, Separative Work decreases
B: Feed decreases, Separative Work increases
C: Feed increases, Separative Work decreases
D: Feed increases, Separative Work increases",B
"When comparing the Molten Salt Breeder Reactor (MSBR) to Light Water Reactors (LWRs) and Liquid Metal Fast Breeder Reactors (LMFBRs), which performance parameter is indicated as significantly lower for the MSBR?
A: Overall plant thermal efficiency.
B: Fuel inventory per MWe.
C: Breeding ratio.
D: Operating pressure.",C
"For a monodirectional beam of gamma-rays incident on a shield composed of two layers with thicknesses $a_1$ and $a_2$ and total attenuation coefficients $\mu_1$ and $\mu_2$ respectively, what is the uncollided flux transmission factor?
A: $e^{-(\mu_1 a_1 + \mu_2 a_2)}$
B: $e^{-\mu_1 a_1} + e^{-\mu_2 a_2}$
C: $e^{-(\mu_1 a_1) \times (\mu_2 a_2)}$
D: $(\mu_1 a_1 + \mu_2 a_2)^{-1}$",A
"According to U.S. regulatory guidance for water-cooled reactors, what are the annual dose limits to any individual in an unrestricted area resulting from radioactive material in liquid effluents, excluding tritium and dissolved gases?
A: 3 mrems to the total body or 10 mrems to any organ
B: 5 mrems to the total body or 15 mrems to the skin
C: 10 mrads air dose for gamma or 20 mrads air dose for beta
D: 15 mrems to any organ",A
"Naturally occurring radionuclides are typically categorized into two groups based on their origin. What are these two categories?
A: Alpha emitters and Beta emitters
B: Primordial and Cosmogenic
C: Terrestrial and Extraterrestrial
D: Short-lived and Long-lived",B
"A radiation worker receives a uniform external dose of 2 rems in a year. If the annual whole body dose limit (Hwb,L) is 5 rems and the ALI for inhalation of 131I is 54 µCi, what is the maximum annual intake of 131I (Ij) the worker may inhale without exceeding the recommended combined exposure limit?
A: 22 µCi
B: 32 µCi
C: 44 µCi
D: 54 µCi",B
"What is a primary difference in the reactor coolant circulation method between the Simplified Boiling Water Reactor (SBWR) and conventional Boiling Water Reactor (BWR) designs?
A: SBWR uses natural circulation, while conventional BWRs use forced circulation.
B: SBWR uses forced circulation, while conventional BWRs use natural circulation.
C: SBWR uses a closed-loop system, while conventional BWRs use an open-loop system.
D: SBWR uses heavy water as a coolant, while conventional BWRs use light water.",A
"The effective decay constant (λ_e) for a radionuclide in a specific organ is determined by which factors?
A: Only the radioactive decay constant
B: Only the biological decay constant
C: The sum of the radioactive and biological decay constants
D: The product of the radioactive and biological decay constants",C
"Which of the following gamma-ray interaction processes has a minimum energy threshold of 1.02 MeV?
A: Photoelectric effect
B: Compton scattering
C: Pair production
D: Annihilation radiation",C
"A 1000 MWe Pressurized Water Reactor operates at a thermal power of approximately 3200 MW. Based on typical core inventory data for such a plant at the end of a fuel cycle, what is the approximate saturation activity for the fission product 132I, which has a cumulative fission yield of 0.0413?
A: 1.2 x 10^8 Curies
B: 8.5 x 10^5 Curies
C: 1.7 x 10^7 Curies
D: 7.5 x 10^7 Curies",A
"What is one significant benefit of using chemical shim control in a reactor in conjunction with mechanical control rods?
A: It allows for faster reactor shutdown.
B: It substantially reduces the number of mechanical control rods required.
C: It increases the moderator temperature coefficient.
D: It eliminates the need to compensate for xenon transients.",B
"A material is composed of a mixture of elements. If the physical density of the mixture is ρ and the weight percent of element 'i' is wᵢ, with gram atomic weight Mᵢ, what is the atom density of element 'i' (atoms/cm³), using N_A for Avogadro's number?
A: (wᵢ/100) * ρ * N_A / Mᵢ
B: ρ * N_A / (Mᵢ * wᵢ/100)
C: (wᵢ/100) * Mᵢ * N_A / ρ
D: ρ * Mᵢ / (N_A * wᵢ/100)",A
"According to the Maxwellian energy distribution for particles in a gas, how does the average energy (E) relate to the most probable energy (Ep)?
A: E = Ep
B: E = Ep / 3
C: E = 2 * Ep
D: E = 3 * Ep",D
"As the mass number of the target nucleus increases, how does the average fractional energy loss of a neutron in an elastic collision generally change?
A: It increases.
B: It decreases.
C: It remains constant.
D: It becomes zero.",B
"In a uniform, bare spherical reactor operating at steady state, where is the maximum neutron flux typically located?
A: At the outer boundary of the sphere
B: At the geometric center of the sphere
C: Uniformly distributed throughout the sphere
D: Midway between the center and the boundary",B
"A tissue receives an absorbed dose rate of 5 x 10⁻⁵ rad/sec from 1 MeV gamma rays. What is the equivalent dose rate in mSv/hr?
A: 0.18 mSv/hr
B: 1.8 mSv/hr
C: 18 mSv/hr
D: 180 mSv/hr",B
"What is the approximate nuclear resource utilization for a Light Water Reactor (LWR) operating on a once-through fuel cycle?
A: Between 60% and 70%
B: Around 5%
C: Around 0.55%
D: Between 20% and 30%",C
"Which of the following is a significant source of gamma rays produced within a reactor shield itself due to neutron interactions?
A: Prompt fission gamma rays
B: Fission product decay gamma rays
C: Capture gamma rays
D: Core leakage gamma rays",C
"For a true breeder reactor operating with recycling, what is the approximate range of nuclear resource utilization?
A: Less than 1%
B: Around 5%
C: Between 20% and 40%
D: Between 60% and 70%",D
"In reactor heat transfer calculations, the reference fluid temperature in Newton's law of cooling is often taken as the mixed mean or bulk temperature. How is the bulk temperature of a fluid defined?
A: The average temperature across the channel cross-section.
B: The maximum temperature in the channel.
C: The temperature the fluid would achieve if mixed adiabatically.
D: The temperature at the center of the channel.",C
"Which material is frequently utilized in nuclear reactor biological shields due to its effectiveness in slowing down neutrons and its structural properties?
A: Lead
B: Iron
C: Concrete
D: Boron Carbide",C
"In a bare, uniform reactor operating at steady state, where is the maximum neutron flux and power density typically found?
A: At the reactor surface
B: Midway between the center and surface
C: At the geometric center
D: Distributed uniformly throughout the volume",C
"Based on the provided data for thermal fission in 235U, what is the approximate fraction of all fission neutrons that are emitted as prompt neutrons?
A: 0.0065
B: 0.9935
C: 0.9993
D: 0.0158",B
"Considering the descriptions of the HTGR and CANDU reactor types, which statement accurately reflects a consequence of their design choices regarding fuel and moderation?
A: The HTGR's use of graphite moderation and helium cooling allows for a lower operating temperature than the CANDU.
B: The CANDU's heavy water moderation, while enabling natural uranium fuel, results in a lower thermodynamic efficiency compared to HTGRs described, which achieve higher steam temperatures.
C: The HTGR requires online refueling due to its high enrichment fuel, while the CANDU is refueled offline.
D: The CANDU's pressure tube design necessitates the use of slightly enriched uranium to achieve criticality, unlike the HTGR which can use natural uranium.",B
"Using the provided information, estimate the Exposure Buildup Factor (Bm) for a monodirectional 2 MeV gamma-ray beam incident on a lead shield with a thickness corresponding to 5.18 mean free paths (μa = 5.18).
A: Approximately 2.35
B: Approximately 3.76
C: Approximately 2.78
D: Approximately 6.11",C
"What type of uranium fuel is primarily used in a CANDU reactor operating on a once-through fuel cycle?
A: Highly Enriched Uranium (>20% 235U)
B: Low Enriched Uranium (typically 3-5% 235U)
C: Depleted Uranium (<0.71% 235U)
D: Natural Uranium (approx. 0.71% 235U)",D
"What is the primary function of the Filtration, Recirculation, and Ventilation System (FRVS) in a BWR during a LOCA or fuel-handling accident?
A: To provide makeup water to the core
B: To remove decay heat from the suppression pool
C: To reduce the release of airborne radioactivity to the environment
D: To maintain positive pressure within the reactor building",C
"Using the thermal neutron data for 235U, what is the capture-to-fission ratio (α)?
A: 0.0899
B: 0.169
C: 0.362
D: 0.365",B
"For an infinite point source emitting S neutrons per second isotropically in an infinite diffusing medium, the source condition used to determine the constants in the diffusion equation solution involves the limit of the product of the radial distance squared and the neutron current density as the radial distance approaches zero. Which of the following correctly represents this source condition?
A: \lim_{r\to 0} J(r) = \frac{S}{4\pi}
B: \lim_{r\to 0} r J(r) = \frac{S}{4\pi}
C: \lim_{r\to 0} r^2 J(r) = \frac{S}{4\pi}
D: \lim_{r\to 0} r^2 \phi(r) = \frac{S}{4\pi D}",C
"In a nuclear reactor, where is the majority of the kinetic energy of fission fragments primarily deposited?
A: Moderator
B: Coolant
C: Fuel
D: Radiation Shield",C
"A radiation worker is anticipated to receive a uniform external dose of 3 rems in a year. The Annual Limit on Intake (ALI) for inhaled 131I is 54 µCi. According to recommended limits for combined external and internal exposure, what is the maximum annual intake of 131I (in µCi) the worker may inhale without exceeding the limit?
A: 22
B: 32
C: 44
D: 54",A
"Which atmospheric temperature profile is characterized by temperature decreasing more rapidly with altitude than the adiabatic lapse rate and is considered the most effective for dispersing pollutants?
A: Isothermal
B: Stable
C: Inversion
D: Superadiabatic",D
"In a two-group calculation for a reflected thermal reactor, where is the thermal neutron flux predicted to exhibit a peak?
A: At the exact center of the reactor core.
B: Near the core-reflector interface, within the reflector.
C: Uniformly throughout the core and reflector.
D: At the outer boundary of the reflector.",B
"Liquid-Metal Fast Breeder Reactors (LMFBRs) utilize an intermediate sodium loop primarily to address which safety concern?
A: Reducing the overall plant efficiency.
B: Preventing the highly radioactive primary sodium from reacting violently with water in the steam generator.
C: Increasing the neutron flux in the core for better breeding.
D: Allowing for online refueling of the reactor.",B
"If a nuclear reactor has an effective multiplication factor (k_eff) of 1.002, what is its reactivity?
A: 0.002
B: 0.001996
C: 1.002
D: 0.001",B
"In the multigroup diffusion approximation, what is the assumed primary direction of neutron energy transfer during scattering between groups?
A: Upscattering (lower to higher energy)
B: Down scattering (higher to lower energy)
C: Isotropic scattering (equal probability in all directions)
D: Elastic scattering only",B
"According to ICRP standards, the Annual Limit on Intake (ALI) for a radionuclide is determined based on ensuring that the dose to organs over a 50-year commitment period does not exceed specified limits. Which relationship fundamentally links the maximum permissible dose (Hmax), the 50-year dose commitment per unit intake (H50), and the ALI?
A: ALI = Hmax / H50
B: ALI = H50 / Hmax
C: ALI = Hmax * H50
D: ALI = Hmax + H50",A
"Which country is mentioned as generating a significant portion of its electricity from nuclear energy, specifically over 75% according to data from 1996?
A: United States
B: Japan
C: Germany
D: France",D
"The steady-state neutron diffusion equation for a medium with a constant diffusion coefficient D and a neutron source s is given by D∇²φ - Σaφ + s = 0. How is this equation typically written when divided by the diffusion coefficient D, and using the definition of the diffusion length L?
A: ∇²φ - (1/L²)φ + s/D = 0
B: ∇²φ + (1/L²)φ - s/D = 0
C: ∇²φ - L²φ + sD = 0
D: ∇²φ + L²φ - sD = 0",A
"What is the definition of the void coefficient (αv) as it relates to reactor physics?
A: The rate of change of reactor power with respect to void fraction.
B: The rate of change of reactivity with respect to void fraction.
C: The rate of change of neutron flux with respect to void fraction.
D: The rate of change of moderator temperature with respect to void fraction.",B
"What chemical compound of uranium is commonly used as the working fluid in the gaseous diffusion method for uranium enrichment?
A: Uranium Dioxide (UO2)
B: Uranium Hexafluoride (UF6)
C: Uranium Metal (U)
D: Uranium Trioxide (UO3)",B
"For a monodirectional beam of gamma-rays incident on a slab shield of thickness 'a', the exposure rate behind the shield (X) is given by X = X₀Bm(μa)e⁻μa, where X₀ is the exposure rate without the shield and μ is the total attenuation coefficient. What is the term Bm(μa)?
A: The uncollided flux attenuation factor.
B: The effective thickness of the shield in mean free paths.
C: The exposure buildup factor for a monodirectional beam.
D: The linear attenuation coefficient.",C
"For a point isotropic fission source in water, the fast neutron flux G(r) at large distances r is approximated by a specific functional form. Which of the following best represents this form, where A and ΣRW are constants?
A: A e⁻ΣRW r
B: A e⁻ΣRW r / (4πr²)
C: A / r²
D: A e⁻ΣRW r²",B
"Which of the following quantities is always conserved in any nuclear reaction?
A: Number of protons
B: Number of neutrons
C: Number of nucleons
D: Total kinetic energy",C
"In nuclear reactor kinetics, what is the definition of reactivity for a finite reactor?
A: (k - 1) / k
B: k - 1
C: (1 - k) / k
D: k / (k - 1)",A
"Hydrogen is a principal component in many reactor shields primarily because it is effective at:
A: Absorbing fast neutrons via the $^1$H(n,$\gamma$)$^2$H reaction.
B: Causing large energy losses in fast neutrons through elastic scattering collisions.
C: Undergoing inelastic scattering with fast neutrons, significantly reducing their energy.
D: Absorbing thermal neutrons without emitting high-energy capture gamma rays.",B
"Which passive system in some advanced reactor designs, such as the AP600, is specifically designed to remove decay heat when the main steam generators are not available?
A: Automatic Depressurization System (ADS)
B: Gravity-Driven Cooling System (GDCS)
C: Passive Residual Heat Removal System
D: In-containment Refueling Water Storage Tank (IRWST)",C
"Which method is primarily used to numerically calculate neutron dose deposition in tissue due to complex interactions?
A: Analytical Integration
B: Monte Carlo Simulation
C: Diffusion Theory
D: Point Kernel Method",B
"What are the primary interface boundary conditions that must be satisfied for neutron flux and current density at the boundary between two different diffusing regions?
A: The neutron flux must be zero, and the normal component of the neutron current must be continuous.
B: The neutron flux must be continuous, and the normal component of the neutron current must be zero.
C: The neutron flux must be continuous, and the normal component of the neutron current must be continuous.
D: The neutron flux must be zero, and the normal component of the neutron current must be zero.",C
"What is the primary moderator and coolant used in a typical CANDU reactor?
A: Light water
B: Graphite
C: Heavy water
D: Carbon Dioxide",C
"In the context of accident risk analysis, how is ""risk"" technically defined for a specified event?
A: The total number of events over a given period.
B: The frequency of the event multiplied by its probability.
C: The consequence of the event per unit time.
D: The public perception of the event's severity.",C
"What was the primary cause of the criticality accident at the Tokai-Mura fuel fabrication facility in 1999?
A: A loss of primary coolant
B: Inadvertent withdrawal of control rods
C: Reaching a critical mass during fuel preparation
D: A steam pipe break outside containment",C
"For most nuclei at low neutron energies, the radiative capture cross-section typically exhibits a dependence on the neutron energy (E) that is proportional to:
A: E
B: 1/E
C: √E
D: 1/√E",D
"Calculate the resonance integral (I) for a natural uranium metal fuel rod with a radius of 1.02 cm and a density of 19.1 g/cm³, using the empirical formula I = A + C/√aρ, where A=2.8 and C=38.3 for ²³⁸U metal.
A: 11.5 b
B: 2.8 b
C: 38.3 b
D: 7.6 b",A
"A 1000 MWe coal-fired power plant operates at 38% efficiency using coal with 9% ash content and a heating value of 13,000 Btu/lb. The fly ash contains 3 pCi/g of Radium-226. If the fly ash removal system has an efficiency of 97.5%, approximately how much Radium-226 activity is emitted from the stack annually?
A: 0.0046 Ci
B: 0.0185 Ci
C: 0.0740 Ci
D: 0.2960 Ci",B
"In reactor kinetics, how is the unit of reactivity called a 'dollar' defined?
A: The reactivity value of 1.0
B: The reactivity value equal to the effective delayed neutron fraction (β)
C: The reactivity value equal to the multiplication factor minus one (k-1)
D: The reactivity value equal to the prompt neutron lifetime (lₚ)",B
"What is the primary function of a condenser in a nuclear steam power plant?
A: To produce steam from water
B: To cool the steam and condense it back into water
C: To remove moisture from steam before it enters the turbine
D: To heat feedwater using extracted turbine steam",B
"What is the primary coolant used in a Gas-Cooled Fast Reactor (GCFR)?
A: Water
B: Carbon Dioxide
C: Helium
D: Nitrogen",C
"In a large sodium-cooled fast reactor, the void coefficient (αv) can be positive in the central region of the core but negative near the outer edge. Which statement best explains this phenomenon?
A: Voiding in the center primarily reduces moderation, hardening the neutron spectrum and increasing η (neutrons per absorption), which outweighs the increase in leakage. Near the edge, increased leakage from voiding is the dominant negative effect.
B: Voiding in the center primarily increases neutron leakage, which is the dominant negative effect. Near the edge, spectrum hardening due to reduced moderation is the dominant positive effect.
C: Sodium is a strong neutron absorber in fast reactors, so voiding always increases reactivity by reducing absorption, regardless of location.
D: The sign of the void coefficient in fast reactors is solely determined by the fissile fuel composition, not the location of the void.",A
"What is the primary function of the coolant system in a nuclear reactor operating at steady state?
A: To absorb excess neutrons
B: To maintain the reactor's critical state
C: To remove heat generated in the core
D: To moderate neutron energy",C
"In the semi-empirical mass equation, which term is primarily responsible for accounting for the increased binding energy (and thus reduced mass) associated with the pairing of nucleons (neutron-neutron, proton-proton)?
A: Surface correction term
B: Coulomb repulsion term
C: Asymmetry term
D: Pairing term",D
"For a control rod inserted axially into a cylindrical reactor core, at what approximate fractional insertion distance (relative to the total core height) is the rate of change of reactivity with respect to insertion distance the greatest?
A: When the rod is just beginning to enter the core (near 0).
B: When the rod is inserted halfway into the core (near 0.5).
C: When the rod is almost fully inserted into the core (near 1.0).
D: The rate of change is constant throughout the insertion distance.",B
"Consider the High-Temperature Gas-Cooled Reactor (HTGR) and the Advanced Gas Reactor (AGR). Which statement accurately describes a key difference in their fuel or coolant characteristics?
A: The HTGR uses Carbon Dioxide as a coolant, while the AGR uses Helium.
B: The AGR is designed for significantly higher coolant outlet temperatures than the HTGR.
C: The HTGR utilizes coated fuel particles in graphite blocks, whereas the AGR uses fuel pellets in stainless steel tubes within graphite sleeves.
D: Both reactor types require highly enriched uranium fuel for operation.",C
"The total population dose from a radiation release is typically measured in what units?
A: Curies
B: Rems
C: Person-rems
D: Becquerels",C
"In the RBMK reactor design, a positive steam void reactivity effect means that:
A: An increase in steam content in the core leads to a decrease in reactivity.
B: A reduction in coolant density leads to increased neutron absorption.
C: An increase in steam content in the core leads to an increase in reactivity.
D: The moderator effect of water is more important than graphite.",C
"For a spherical reactor core surrounded by a reflector, the criticality condition involves a transcendental equation. The first root of this equation corresponds to the critical size. How does the value of BR (Buckling * Radius) for the critical reflected core compare to the value of BR for a critical bare spherical core of the same composition?
A: BR for the reflected core is greater than BR for the bare core.
B: BR for the reflected core is equal to BR for the bare core.
C: BR for the reflected core is less than BR for the bare core.
D: The relationship depends on the specific reflector material.",C
"For a planar disc source of radius R, uniformly emitting S gamma-rays/cm²-sec, the gamma-ray flux (Φₕ) at a distance x along the central axis of the disc is given by what formula?
A: Φₕ(x) = (S/2) * ln((x² + R²) / x²)
B: Φₕ(x) = (S/2) * (1 - x / √(x² + R²))
C: Φₕ(x) = S * R / (2 * √(x² + R²))
D: Φₕ(x) = S / (4 * x)",B
"Neutron diffusion theory provides a useful approximation for calculating neutron distributions in a reactor. However, this approximation has limitations. Under which of the following conditions is the neutron diffusion approximation generally considered NOT valid?
A: In a medium where scattering is primarily isotropic.
B: In regions far from strong neutron sources or material boundaries.
C: When the medium strongly absorbs neutrons.
D: For problems involving time-independent neutron distributions.",C
"Among the estimated world uranium resource categories, which category refers to uranium expected to occur in deposits where the evidence is inferred from geological extrapolation and indirect evidence?
A: Reasonably Assured Resources (RAR)
B: Estimated Additional Resources - Category I (EAR-I)
C: Estimated Additional Resources - Category II (EAR-II)
D: Speculative Resources",D
"What does the square of the diffusion length (L²) represent physically in the context of neutron diffusion?
A: The average distance a neutron travels before its first collision.
B: One-sixth the average of the square of the vector distance a neutron travels from its emission point to its absorption point.
C: The average energy lost by a neutron per collision.
D: The reciprocal of the macroscopic absorption cross-section.",B
"Calculate the thermal utilization factor (f) for a heterogeneous lattice with the following parameters: ΣaF = 0.3668 cm⁻¹, ΣaM = 0.0002728 cm⁻¹, VM/VF = 195.6, lattice function F = 1.0532, and lattice function E = 1.0557. Use the calculation method where 1/f = (ΣaM VM / ΣaF) * F + E.
A: 0.8272
B: 1.2089
C: 1.0532
D: 0.6783",A
"A monoenergetic gamma-ray beam with initial intensity I₀ is incident normally on a target of thickness X and density ρ. If the mass attenuation coefficient of the target material is (μ/ρ), what is the intensity of the uncollided photons transmitted through the target?
A: I = I₀ exp[-(μ/ρ)X]
B: I = I₀ exp[-(μ/ρ)ρX]
C: I = I₀ (μ/ρ)ρX
D: I = I₀ / exp[-(μ/ρ)ρX]",B
"In a two-group neutron diffusion model used for thermal reactors, which group represents neutrons that are slowing down from fission energies?
A: The thermal group
B: The fast group
C: The intermediate group
D: The epithermal group",B
"What is the conventional unit of absorbed dose?
A: Roentgen
B: Rem
C: Rad
D: Sievert",C
"Consider a simple coolant circuit where coolant spends time ti in the reactor flux and time to in the outer circuit. Assuming the residence times ti and to are small compared to the half-life of the induced activity, which expression best approximates the equilibrium activity per unit volume of coolant leaving the reactor?
A: a = Σact * φav * (ti + to)
B: a = Σact * φav * ti / (ti + to)
C: a = Σact * φav * to / (ti + to)
D: a = Σact * φav * (1 - e^(-λti))",B
"In the energy range where Compton scattering is the dominant interaction process for gamma rays, how does the mass attenuation coefficient (μ/ρ) generally compare for different elements (excluding hydrogen and very heavy elements)?
A: It is significantly higher for elements with higher atomic numbers.
B: It is significantly lower for elements with higher atomic numbers.
C: It tends to be roughly the same for most elements.
D: It varies approximately as the square of the atomic number (Z²).",C
"A point isotropic source emits 10⁸ γ-rays/sec at 1 MeV. It is shielded by a spherical iron shield 10 cm thick. The linear attenuation coefficient for 1-MeV gamma rays in iron is 0.468 cm⁻¹. The mass energy absorption coefficient for 1-MeV gamma rays in air is 0.0280 cm²/g, and the constant for converting flux to exposure rate (k = C * Eo * (μa/ρ)air * φb) has C = 0.0659 (mR/hr)/(γ/cm²-sec)/(MeV-cm²/g). Using standard data for the point isotropic exposure buildup factor (Bp) in Iron and linear interpolation from μR=4 (Bp=10.2) to μR=7 (Bp=16.2) for 1 MeV gamma rays, estimate the exposure rate at the surface of the shield (R = 10 cm).
A: Approximately 5.4 mR/hr
B: Approximately 11.6 mR/hr
C: Approximately 15.8 mR/hr
D: Approximately 22.1 mR/hr",C
"Consider a nuclear reactor coolant channel operating with water under nucleate boiling conditions near the Departure from Nucleate Boiling (DNB) point. If the heat flux from the fuel rods suddenly increases above the critical heat flux (CHF) value, which of the following phenomena is most likely to occur and potentially lead to fuel damage?
A: The coolant flow will transition to a laminar regime, reducing heat transfer.
B: A stable vapor film will form on the rod surface, significantly reducing heat transfer efficiency and causing the rod temperature to rise rapidly.
C: The bulk coolant temperature will immediately drop, increasing the margin to saturation.
D: The heat transfer coefficient will increase sharply, efficiently removing the excess heat.",B
"What type of steam generators are characteristic of both VVER 440 and VVER 1000 reactor designs?
A: Vertical U-tube steam generators
B: Horizontal steam generators
C: Once-through helical steam generators
D: Shell and tube heat exchangers",B
"How does the temperature distribution across a coolant channel typically differ between a liquid metal coolant and a non-metallic coolant under turbulent flow conditions?
A: Liquid metals show a steeper temperature drop near the wall and a more uniform core temperature than non-metallic coolants.
B: Non-metallic coolants show a steeper temperature drop near the wall and a more uniform core temperature than liquid metals.
C: Both coolants show similar temperature distributions with gradual changes across the channel.
D: Liquid metals have higher bulk temperatures while non-metallic coolants have higher cladding temperatures.",B
"Which reactor type is specifically designed to operate on natural uranium fuel due to its moderator choice?
A: Liquid-Metal Fast Breeder Reactor (LMFBR)
B: High-Temperature Gas-cooled Reactor (HTGR)
C: Light-Water Reactor (LWR)
D: Heavy-Water Reactor (HWR)",D
"Continuous chemical processing in a Molten Salt Breeder Reactor (MSBR) includes removing the intermediate nuclide 233Pa from the circulating fuel salt. Why is this removal important for efficient breeding?
A: 233Pa decays rapidly into undesirable fission products.
B: 233Pa has a long half-life and a high thermal neutron absorption cross-section, potentially absorbing neutrons needed for breeding before decaying to 233U.
C: Removing 233Pa reduces the overall fuel inventory in the core.
D: 233Pa causes significant damage to the graphite moderator elements.",B
"Consider Samarium-149 poisoning in a nuclear reactor. Which statement accurately describes its behavior?
A: Its equilibrium reactivity worth is highly dependent on the operating neutron flux.
B: Its concentration decreases immediately after reactor shutdown due to decay.
C: The maximum post-shutdown Samarium-149 reactivity depends on the operating flux before shutdown.
D: Samarium-149 is effectively removed from the core primarily by radioactive decay.",C
"Based on average annual individual doses in the United States from natural sources, which of the following contributes the highest dose?
A: Cosmic rays
B: Terrestrial gamma rays
C: Radon (222Rn)
D: Potassium-40 (40K)",C
"Approximately what percentage of the total recoverable energy per fission is deposited locally within the fuel material?
A: About 50%
B: About 70%
C: About 90%
D: About 100%",C
"In typical postulated accident scenarios used for reactor siting evaluations, what fraction of the noble gas inventory is assumed to be immediately released into the reactor building (containment)?
A: 10%
B: 25%
C: 50%
D: 100%",D
"How is reactivity primarily controlled in the Light Water Breeder Reactor (LWBR) design discussed?
A: By inserting neutron-absorbing control rods.
B: By varying the concentration of soluble boron in the coolant.
C: By axially moving seed fuel regions within the core.
D: By adjusting the flow rate of the coolant.",C
"A nuclear reaction with a positive Q-value is classified as:
A: Endothermic, resulting in a net increase in mass.
B: Exothermic, resulting in a net decrease in mass.
C: Endothermic, resulting in a net decrease in kinetic energy.
D: Exothermic, resulting in a net increase in mass.",B
"What physical property quantifies a material's ability to transfer heat through conduction?
A: Specific heat capacity
B: Thermal conductivity
C: Density
D: Viscosity",B
"Which of the following particles are the primary constituents of an atomic nucleus?
A: Electrons and Photons
B: Protons and Neutrons
C: Leptons and Hadrons
D: Quarks and Gluons",B
"For a plate-type fuel element with uniform heat generation in the fuel and constant thermal conductivity, the temperature distribution within the fuel region varies with position primarily as a:
A: Linear function
B: Logarithmic function
C: Exponential function
D: Quadratic (parabolic) function",D
"The survival curve for cells exposed to low LET radiation typically exhibits a ""shoulder"" at low doses, where the decrease in survival fraction is less steep compared to higher doses. What is the most likely explanation for this shoulder?
A: The radiation is completely absorbed by the cell membrane at low doses.
B: The cell's repair mechanisms are effective at mending damage caused by low doses of low LET radiation.
C: Low LET radiation requires multiple hits to cause lethal damage at low doses.
D: The target molecules within the cell are saturated at low doses.",B
"Consider a plate-type fuel element with fuel thickness 2a and cladding thickness h. Assuming uniform volumetric heat generation rate q''' in the fuel, thermal conductivity kf for the fuel, and kc for the cladding (no heat generation in cladding), derive the total heat flow rate per unit area out of one side of the element in terms of the maximum fuel temperature Tm (at the center) and the outer cladding surface temperature Tc.
A: q'' = (Tm - Tc) / [(a/kf) + (h/kc)]
B: q'' = (Tm - Tc) / [(a/2kf) + (h/kc)]
C: q'' = (Tm - Tc) / [(a/kf) + (h/2kc)]
D: q'' = (Tm - Tc) / [(2a/kf) + (h/kc)]",B
"What are the two primary steps involved when a neutron interacts with a nucleus via compound nucleus formation?
A: The neutron is absorbed, and then the nucleus fissions.
B: The neutron scatters elastically, and then scatters inelastically.
C: The incident neutron coalesces with the target nucleus to form a compound nucleus, which then decays.
D: The target nucleus emits a gamma ray upon impact, followed by neutron scattering.",C
"For monoenergetic neutrons, the neutron flux (ϕ) is defined as the product of:
A: Neutron density and macroscopic cross-section
B: Neutron intensity and neutron speed
C: Neutron density and neutron speed
D: Macroscopic cross-section and neutron speed",C
"How does the process of heat absorption by the primary coolant typically differ between a Pressurized Water Reactor (PWR) and a Boiling Water Reactor (BWR)?
A: In a PWR, the coolant undergoes a net phase change; in a BWR, it does not.
B: In a BWR, the coolant undergoes a net phase change (boiling); in a PWR, it does not.
C: Both PWRs and BWRs involve boiling the primary coolant.
D: Neither PWRs nor BWRs involve a phase change in the primary coolant.",B
"Approximately how much 235U undergoes fission per day in a reactor operating at a steady thermal power of 50 MW?
A: 1.05 g
B: 50 g
C: 52.5 g
D: 123 g",C
"A radionuclide with a radioactive decay constant λ (in s⁻¹) is released into a containment building that leaks at a rate of p percent per day. What is the effective decay constant (Λc) in s⁻¹ for the activity of this radionuclide remaining inside the building?
A: λ + p
B: λ * (p/100)
C: λ + (0.01 * p / 86400)
D: λ + 0.01 * p",C
"Which act of Congress established the Nuclear Regulatory Commission (NRC) and separated its regulatory functions from nuclear research and development activities?
A: Atomic Energy Act of 1946
B: Atomic Energy Act of 1954
C: Energy Reorganization Act of 1974
D: National Environmental Policy Act of 1969",C
